conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1945471328666128812,Thu Jul 17 00:59:48 +0000 2025,2,@VDSyst3msX Sudah mengasingkan diri... #kaburajadulu aza dulu,1945649604210692220,,VDSyst3msX,in,,0,0,0,https://x.com/undefined/status/1945649604210692220,1897601440144904192,
1945646724430925911,Thu Jul 17 00:48:22 +0000 2025,0,Wajib baca #pecintakopi #kopinusantara #kopiindonesia #pecintakopinusantara #pecintakopiindonesia #kopiraja #maharajacoffee #proyek #hutang #kaburajadulu #komunitaskopi #coffeeshop #CoffeeLover #CoffeeTime #CoffeeTalk https://t.co/YTmoPDEEzh,1945646724430925911,https://pbs.twimg.com/media/GwBTYkPWwAANawB.jpg,,in,,0,0,0,https://x.com/undefined/status/1945646724430925911,1774075888486973440,
1945535480184947123,Wed Jul 16 17:26:19 +0000 2025,0,kerja disini jdi ngerti ironi warga warga indonesia jdi sadar kenapa indo gk maju maju selain konsumtif mrk jg lbh gedein GENGSI daripada cari kerjaan dan bs makan tiap hari jdi makin yakin buat #kaburajadulu ,1945535480184947123,,,in,,0,0,0,https://x.com/undefined/status/1945535480184947123,1049655631437815814,
1945525915733373389,Wed Jul 16 17:16:20 +0000 2025,0,@middeude @bukanDWP biar kita #kaburajadulu ya kak,1945532969416106217,,middeude,in,,0,1,0,https://x.com/undefined/status/1945532969416106217,772455107107561472,
1945526450234519956,Wed Jul 16 16:50:26 +0000 2025,0,idealisme gue buat nyari pasangan yg punya vision mau diajak #KaburAjaDulu akan tetap sama. Entah itu akan terlaksana pikir nanti. Kalau ga punya maaf skip dulu,1945526450234519956,,,in,,0,1,0,https://x.com/undefined/status/1945526450234519956,865225436879388672,
1945503043115532651,Wed Jul 16 16:43:50 +0000 2025,0,@febching kak jo pls bilangin kak kukis buka batch lagi.. demi aku buldep aku uda di taiwan pls wujudin citacitaku cobain kukis temenmu before minggat n kaburajadulu ,1945524791148253626,,febching,in,,0,0,0,https://x.com/undefined/status/1945524791148253626,1481664584130138118,
1945401844802744461,Wed Jul 16 16:25:43 +0000 2025,1,@hoonyunki Doain aku #kaburajadulu biar bisa nyobain fangirling di Korea yaa,1945520228156514366,,hoonyunki,in,,0,1,0,https://x.com/undefined/status/1945520228156514366,1639249376769081346,
1945478399138394204,Wed Jul 16 13:39:30 +0000 2025,1,loh gimana nasib hestek #kaburajadulu,1945478399138394204,,,in,,0,0,0,https://x.com/undefined/status/1945478399138394204,17169787,
1945463123194020297,Wed Jul 16 13:25:32 +0000 2025,0,@lolixgiggle Kaburajadulu dengan cara elegan~,1945474884358033456,,lolixgiggle,in,,0,0,0,https://x.com/undefined/status/1945474884358033456,1562814641658482688,
1945463123194020297,Wed Jul 16 13:00:04 +0000 2025,0,@_akuandin Sekalian #.kaburajadulu gitu ya,1945468476514357671,,_akuandin,in,,0,1,0,https://x.com/undefined/status/1945468476514357671,1562814641658482688,
1945463123194020297,Wed Jul 16 12:59:41 +0000 2025,0,@russellversions Bisa nih jadi alasan #.kaburajadulu,1945468381194522925,,russellversions,in,,0,1,0,https://x.com/undefined/status/1945468381194522925,1562814641658482688,
1945455855513612713,Wed Jul 16 12:09:55 +0000 2025,0,ini dia waktunya untuk #KaburAjaDulu,1945455855513612713,,,in,,0,0,0,https://x.com/undefined/status/1945455855513612713,2644886024,
1945441215932948501,Wed Jul 16 11:51:49 +0000 2025,0,@donsgyoung Singlish? Contoh bahasanya apa Sa? Eh terus buat makanan ada tantangannya nggak kebanyakan temenku yang kaburajadulu tuh ngeluhnya di makanan. Apa kamu ngalamin hal yang sama?,1945451300419731750,,donsgyoung,in,,0,1,0,https://x.com/undefined/status/1945451300419731750,1878711642596548608,
1945450026467270831,Wed Jul 16 11:46:45 +0000 2025,1,pengen ikut bismillah #KaburAjaDulu,1945450026467270831,,,in,,0,0,0,https://x.com/undefined/status/1945450026467270831,1251393827014717440,
1945441215932948501,Wed Jul 16 11:30:37 +0000 2025,1,@muncorner mau tanya-tanya soal #.kaburajadulu dong kak! ‍,1945445964388712764,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945445964388712764,1302956295075459073,
1945441215932948501,Wed Jul 16 11:20:33 +0000 2025,1,@muncorner Hi aku sebagai mantan #.KaburAjaDulu mau temenan dong.,1945443432970805661,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945443432970805661,1210752626,
1945441215932948501,Wed Jul 16 11:20:08 +0000 2025,0,@muncorner Boleh. Tips kaburajadulu dong.,1945443325462622371,,muncorner,in,,0,0,0,https://x.com/undefined/status/1945443325462622371,1869304752179412992,
1945441215932948501,Wed Jul 16 11:19:18 +0000 2025,0,@muncorner hi hmu senior #.kaburajadulu aku juniormu (ceritanya mau nyusul),1945443118310179310,,muncorner,in,,0,0,0,https://x.com/undefined/status/1945443118310179310,1935915379274174464,
1945441215932948501,Wed Jul 16 11:18:45 +0000 2025,1,@muncorner HIIIII mau temenan plissss aku juga bakal #.kaburajadulu! ,1945442980526993749,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945442980526993749,1930209823553138699,
1945441215932948501,Wed Jul 16 11:18:09 +0000 2025,0,@muncorner Tolong kasih aku tip dan trick untuk #kaburajadulu!,1945442827871330693,,muncorner,in,,0,0,0,https://x.com/undefined/status/1945442827871330693,1943645218282291200,
1945441215932948501,Wed Jul 16 11:16:46 +0000 2025,1,@muncorner mauu siapa tau bisa ikutan #.kaburajadulu,1945442479500902850,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945442479500902850,1426089242,
1945441215932948501,Wed Jul 16 11:16:34 +0000 2025,1,@muncorner Boleh kasih tips aja ga untuk kaburajadulu? Huft capek tinggal di wakanda,1945442431648047565,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945442431648047565,769405919629377536,
1945441215932948501,Wed Jul 16 11:16:16 +0000 2025,0,@muncorner tips and trick #.kaburajadulu nya kak? mw:(,1945442355496292592,,muncorner,in,,0,0,0,https://x.com/undefined/status/1945442355496292592,1878779049545547777,
1945441215932948501,Wed Jul 16 11:15:04 +0000 2025,1,@muncorner Kaburajadulu sounds fun gimana kehidupan di sana?,1945442052042571797,,muncorner,in,,0,1,0,https://x.com/undefined/status/1945442052042571797,1878711642596548608,
1945441215932948501,Wed Jul 16 11:11:45 +0000 2025,0, Hello everyone i am 25+ y.o with masculine pronouns and now #.kaburajadulu person. Tanpa list hal yang saya sukai atau minati maukah menjadi teman?,1945441215932948501,,,in,,1,73,0,https://x.com/undefined/status/1945441215932948501,1284050960013115393,
1944730771929067932,Wed Jul 16 10:28:49 +0000 2025,0,@somexthread Makan tuh sdm rendan sok kaburajadulu tapi skill issue no attitude,1945430411972129031,,somexthread,in,,0,0,0,https://x.com/undefined/status/1945430411972129031,1108615598999691264,
